"Number" "Date" "Time" "Interface" "Origin" "Type" "Action" "Service" "Source Port" "Source" "Destination" "Protocol" "Rule" "Rule Name" "Current Rule Number" "User" "Information" "Product" "Source Machine Name" "Source User Name"
"2200751" "31May2023" "16:17:31" "eth1" "fwnetels" "Log" "Accept" "https" "55844" "192.100.100.95" "107.23.224.31" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2225302" "31May2023" "16:47:22" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "52685" "SRV_NS" "74.123.224.40" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2259477" "31May2023" "17:35:01" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "53322" "SRV_NS" "74.123.224.40" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2264124" "31May2023" "17:41:56" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51661" "SRV_NS" "23.224.210.46" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2310080" "31May2023" "19:02:22" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51780" "SRV_NS" "74.123.224.37" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2342635" "31May2023" "19:56:39" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51605" "SRV_NS" "23.224.210.66" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2596127" "1Jun2023" "6:53:16" "eth1" "fwnetels" "Log" "Accept" "https" "49189" "192.100.100.250" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2596192" "1Jun2023" "6:53:21" "eth1" "fwnetels" "Log" "Accept" "https" "49216" "192.100.100.250" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2597031" "1Jun2023" "6:54:14" "eth1" "fwnetels" "Log" "Accept" "https" "64271" "192.100.100.242" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2597388" "1Jun2023" "6:54:22" "eth1" "fwnetels" "Log" "Accept" "https" "64299" "192.100.100.242" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2599311" "1Jun2023" "6:57:14" "eth1" "fwnetels" "Log" "Accept" "https" "49288" "192.100.100.250" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2614099" "1Jun2023" "7:16:09" "eth1" "fwnetels" "Log" "Accept" "https" "64798" "192.100.100.242" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2670666" "1Jun2023" "8:15:48" "eth1" "fwnetels" "Log" "Accept" "https" "49550" "192.100.100.242" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2705632" "1Jun2023" "8:44:38" "eth1" "fwnetels" "Log" "Accept" "https" "62618" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2711909" "1Jun2023" "8:49:04" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "50570" "SRV_Demeter" "74.123.224.40" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2840031" "1Jun2023" "10:33:02" "eth1" "fwnetels" "Log" "Accept" "https" "54056" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2840165" "1Jun2023" "10:33:04" "eth1" "fwnetels" "Log" "Accept" "https" "54092" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2840671" "1Jun2023" "10:33:30" "eth1" "fwnetels" "Log" "Accept" "https" "54198" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2840673" "1Jun2023" "10:33:30" "eth1" "fwnetels" "Log" "Accept" "https" "54199" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2847042" "1Jun2023" "10:40:44" "eth1" "fwnetels" "Log" "Accept" "https" "64128" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2851939" "1Jun2023" "10:43:30" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "50646" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2851940" "1Jun2023" "10:43:30" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51475" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2895659" "1Jun2023" "11:12:20" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51896" "SRV_Beta" "108.162.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2895849" "1Jun2023" "11:12:25" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "49824" "SRV_Demeter" "108.162.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2918519" "1Jun2023" "11:27:51" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52270" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2926611" "1Jun2023" "11:32:45" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52828" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2928583" "1Jun2023" "11:33:56" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "50706" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
